,Species
124,Iris-virginica
40,Iris-setosa
17,Iris-setosa
5,Iris-setosa
135,Iris-virginica
114,Iris-virginica
48,Iris-setosa
127,Iris-virginica
32,Iris-setosa
42,Iris-setosa
115,Iris-virginica
140,Iris-virginica
122,Iris-virginica
148,Iris-virginica
26,Iris-setosa
10,Iris-setosa
18,Iris-setosa
137,Iris-virginica
101,Iris-virginica
23,Iris-setosa
133,Iris-virginica
54,Iris-versicolor
79,Iris-versicolor
134,Iris-virginica
55,Iris-versicolor
44,Iris-setosa
59,Iris-versicolor
9,Iris-setosa
97,Iris-versicolor
94,Iris-versicolor
3,Iris-setosa
22,Iris-setosa
128,Iris-virginica
53,Iris-versicolor
110,Iris-virginica
67,Iris-versicolor
130,Iris-virginica
98,Iris-versicolor
33,Iris-setosa
65,Iris-versicolor
120,Iris-virginica
84,Iris-versicolor
25,Iris-setosa
78,Iris-versicolor
93,Iris-versicolor
87,Iris-versicolor
107,Iris-virginica
129,Iris-virginica
45,Iris-setosa
131,Iris-virginica
86,Iris-versicolor
69,Iris-versicolor
145,Iris-virginica
106,Iris-virginica
34,Iris-setosa
100,Iris-virginica
108,Iris-virginica
126,Iris-virginica
37,Iris-setosa
27,Iris-setosa
66,Iris-versicolor
8,Iris-setosa
99,Iris-versicolor
2,Iris-setosa
15,Iris-setosa
76,Iris-versicolor
141,Iris-virginica
118,Iris-virginica
91,Iris-versicolor
21,Iris-setosa
64,Iris-versicolor
41,Iris-setosa
4,Iris-setosa
38,Iris-setosa
70,Iris-versicolor
72,Iris-versicolor
43,Iris-setosa
62,Iris-versicolor
7,Iris-setosa
138,Iris-virginica
35,Iris-setosa
95,Iris-versicolor
1,Iris-setosa
90,Iris-versicolor
143,Iris-virginica
68,Iris-versicolor
119,Iris-virginica
13,Iris-setosa
81,Iris-versicolor
47,Iris-setosa
